,p0,p1,S09-CBS,S11-SBC,S28-CSB,S15-SBC,S20-SCB,S01-BSC,S19-BCS,S17-CSB,S13-SCB,S24-SCB,S18b-SBC,S07-BCS,S20b-SCB,S08-CSB,S16-BSC,S21-CBS,S04-SCB,S12-CBS,S23-SBC,S10-BCS,S08-BSC,S33-CBS,S12-SCB,S18-SBC,S16-CSB,S27-CBS,S06-CSB,S31-CSB,S14-CBS,S02-CSB,S21b-CBS,S23-SCB,S29-SBC,S10-CSB,S25-BCS,S07-BSC,S22-CSB,S03-CBS,S03-BSC,S17-BCS,S11b-SBC,S13-BCS,S15-CBS,S30-SCB,S26-BSC,S05-BCS,S19-CBS,S01-BCS
0,V01,V02,1.63,1.48,0.18,3.15,1.9,1.42,0.23,1.08,2.05,1.17,1.69,1.6,0.92,2.56,1.3,2.33,1.58,1.8,1.52,1.71,3.42,3.25,3.39,3.04,0.52,1.37,2.94,0.33,1.79,3.54,2.15,0.89,1.82,1.45,0.61,0.45,2.71,2.16,0.85,1.2,1.05,0.95,0.42,1.01,1.2,0.6,2.48,2.01
1,V01,V03,2.04,0.5,0.42,1.72,2.15,0.09,0.31,1.04,2.81,1.14,2.49,1.99,3.89,2.46,1.48,0.98,1.66,1.73,0.42,0.54,1.24,2.29,1.66,1.1,0.21,2.45,1.36,0.71,2.11,3.32,1.45,0.96,3.19,1.46,3.45,2.49,3.68,1.33,2.93,1.06,1.58,2.16,0.13,2.88,1.06,1.77,2.75,1.41
2,V01,V04,2.99,3.96,1.17,1.94,1.31,0.75,0.06,0.72,1.54,0.61,2.86,1.2,3.2,4.46,0.24,1.25,1.16,1.87,2.42,2.87,0.41,4.46,0.42,4.22,3.03,2.42,1.58,3.45,2.26,4.11,0.65,1.07,3.2,2.58,2.55,0.51,3.47,4.53,3.08,1.42,1.3,3.71,0.75,3.85,2.03,2.65,4.43,1.56
3,V01,V05,1.85,1.0,0.37,0.26,2.82,1.0,0.58,2.31,0.34,1.67,3.05,3.27,1.25,1.87,0.74,1.85,0.89,0.95,2.25,1.85,1.63,0.99,2.54,0.87,2.09,0.97,0.7,1.59,4.13,2.73,1.15,2.15,3.29,1.77,3.55,3.25,2.83,2.6,0.27,0.21,0.84,3.54,0.08,1.67,0.39,2.12,3.36,2.59
4,V01,V06,1.84,0.66,1.7,0.46,1.11,0.48,0.59,1.21,4.04,0.52,1.65,3.34,3.2,0.98,0.88,2.09,2.79,2.17,0.35,1.69,0.69,4.53,1.37,0.82,0.49,1.63,1.62,0.95,2.1,2.58,0.62,2.94,1.86,1.17,3.26,2.44,2.57,1.67,2.83,1.47,0.59,2.81,0.19,3.55,1.43,1.63,3.12,2.24
5,V01,V07,0.99,1.45,1.48,1.72,2.53,1.57,1.42,0.81,0.3,1.2,2.14,5.05,1.73,0.45,1.11,1.89,2.62,2.14,3.01,0.82,0.84,2.12,2.96,0.69,1.89,2.81,1.52,1.53,3.42,0.77,0.82,2.76,2.52,1.34,1.78,2.05,0.58,0.75,1.63,0.55,1.02,2.63,0.54,3.5,0.59,0.58,3.61,0.68
6,V01,V08,2.33,0.31,0.93,1.65,0.82,0.94,0.41,1.47,1.57,0.82,1.13,3.94,3.35,4.78,1.47,2.9,1.13,2.26,0.28,1.56,1.0,2.28,0.98,0.21,0.69,3.55,1.83,1.64,3.53,3.33,2.09,2.48,2.03,0.83,1.7,1.46,2.79,2.74,1.22,0.5,1.09,1.1,0.76,2.4,1.16,1.04,2.12,1.13
7,V01,V09,1.97,0.35,0.67,1.23,2.79,2.09,0.96,0.85,1.68,1.87,2.97,2.65,3.63,2.74,1.59,3.26,2.46,2.06,1.7,0.26,1.84,1.24,0.95,1.4,2.16,1.47,0.91,2.35,2.18,1.39,1.23,2.55,2.52,1.36,1.38,3.18,2.65,0.91,3.73,1.06,0.69,3.3,0.08,2.37,1.62,0.7,3.55,1.75
8,V01,V10,1.32,2.66,0.17,1.12,1.96,1.61,0.69,0.17,1.6,1.43,1.62,1.24,2.2,2.24,1.22,1.31,3.54,1.53,0.05,1.54,1.25,3.41,2.72,1.3,1.37,1.87,0.85,1.26,0.41,2.44,0.82,1.97,0.59,1.36,2.42,1.74,1.59,1.13,1.16,0.71,0.88,0.12,0.52,0.2,1.74,2.98,2.37,1.75
9,V01,V11,1.78,1.66,0.05,0.91,4.9,0.45,1.01,1.19,2.37,1.88,1.09,2.79,2.96,2.27,0.95,3.63,1.91,2.3,0.63,1.9,2.34,2.11,2.53,2.98,0.27,1.86,1.6,1.69,3.23,2.24,1.12,2.92,2.89,1.82,3.92,0.99,1.66,1.46,1.23,2.17,0.93,1.84,0.5,3.0,0.2,2.51,1.59,3.42
