,p0,p1,S09-CBS,S11-SBC,S28-CSB,S15-SBC,S20-SCB,S01-BSC,S19-BCS,S17-CSB,S13-SCB,S24-SCB,S18b-SBC,S07-BCS,S20b-SCB,S08-CSB,S16-BSC,S21-CBS,S04-SCB,S12-CBS,S23-SBC,S10-BCS,S08-BSC,S33-CBS,S12-SCB,S18-SBC,S16-CSB,S27-CBS,S06-CSB,S31-CSB,S14-CBS,S02-CSB,S21b-CBS,S23-SCB,S29-SBC,S10-CSB,S25-BCS,S07-BSC,S22-CSB,S03-CBS,S03-BSC,S17-BCS,S11b-SBC,S13-BCS,S15-CBS,S30-SCB,S26-BSC,S05-BCS,S19-CBS,S01-BCS
0,M01,M02,1.14,1.63,1.1,1.45,3.83,1.17,0.61,1.12,2.0,2.7,0.9,0.73,1.73,2.46,2.07,0.89,3.17,1.37,2.1,1.61,3.44,1.62,3.28,2.54,1.26,3.34,1.09,0.5,0.82,0.63,2.56,1.59,1.93,1.53,0.67,1.89,1.38,3.14,0.43,1.18,1.45,1.06,2.39,2.74,1.19,1.1,0.65,1.5
1,M01,M03,0.41,1.66,0.77,1.45,1.53,2.56,0.54,2.09,2.02,0.57,2.63,2.88,2.15,1.15,0.83,2.3,3.53,0.51,2.58,1.78,0.56,3.41,1.97,3.15,0.5,3.13,3.13,1.06,3.19,1.5,2.39,2.72,0.7,2.16,1.52,2.16,1.24,1.66,1.99,1.64,2.46,0.94,4.11,0.72,1.39,3.78,0.59,1.71
2,M01,M04,1.54,0.58,1.95,1.01,2.25,2.18,0.59,1.02,2.35,2.39,2.21,3.63,2.9,1.47,1.17,1.02,1.65,0.91,2.19,1.21,0.65,0.3,1.29,1.7,0.94,2.09,3.03,1.92,0.9,1.02,0.43,1.37,1.81,1.58,1.08,3.09,1.35,3.36,2.23,1.14,1.58,2.28,4.03,2.95,0.6,0.91,0.58,2.15
3,M01,M05,2.0,1.41,1.6,0.95,1.73,2.29,1.24,3.08,2.91,2.1,0.22,2.04,3.55,0.3,1.5,0.91,2.43,2.32,2.18,1.5,1.89,3.74,3.57,2.69,0.9,0.79,1.52,3.52,0.81,3.78,1.7,0.91,0.69,1.24,2.26,2.65,2.33,1.03,1.84,1.05,1.86,2.65,3.95,1.56,2.1,0.45,3.02,3.53
4,M01,M06,0.62,2.98,1.55,1.41,2.92,1.95,1.78,2.12,0.84,2.33,0.32,4.25,0.45,1.48,1.53,0.78,2.34,2.95,0.9,1.33,3.0,0.88,0.51,1.97,3.93,2.35,3.39,2.56,0.62,2.15,1.42,0.82,3.03,1.31,4.17,0.22,0.79,0.51,1.26,2.5,0.77,1.57,1.8,0.13,2.57,2.42,0.73,1.74
5,M01,M07,1.56,0.94,1.6,1.85,2.91,2.32,1.34,2.36,3.08,2.72,1.12,1.38,1.16,1.76,1.5,1.2,3.07,2.26,2.34,2.07,1.85,0.68,3.6,2.5,0.46,1.57,3.49,0.86,0.71,2.56,1.82,1.6,2.92,2.69,2.41,1.81,0.96,1.07,2.11,2.2,0.73,1.63,4.22,0.71,2.96,1.16,0.79,1.9
6,M01,M08,2.2,2.1,1.64,1.5,2.77,2.47,0.35,2.5,1.5,2.97,2.15,1.17,2.49,3.81,1.68,0.77,3.26,2.83,1.66,0.66,1.81,1.89,0.57,3.9,3.81,2.67,3.14,3.33,2.76,3.64,2.33,1.1,2.48,1.17,2.18,2.26,0.81,1.86,0.54,1.86,1.66,1.25,1.74,1.23,1.75,4.19,0.67,1.99
7,M01,M09,1.26,2.64,3.18,1.47,3.0,2.67,3.81,3.41,0.53,3.88,1.77,0.95,2.65,1.17,2.85,1.66,3.04,0.98,1.95,0.44,1.96,0.25,2.66,3.95,0.97,3.26,4.58,2.71,0.4,3.17,1.48,1.7,2.52,2.12,2.46,2.39,0.26,3.5,0.31,3.66,2.65,0.81,1.27,0.88,1.74,4.63,1.03,2.74
8,M01,M10,1.93,1.72,2.6,0.17,3.98,1.85,2.86,2.9,3.56,3.36,2.4,2.75,1.67,0.54,1.42,0.27,4.07,2.32,1.85,1.95,1.59,0.83,3.83,2.29,0.8,1.21,0.85,1.48,1.41,4.05,2.38,4.23,1.73,2.0,2.86,1.35,1.21,2.69,1.01,3.42,1.4,1.63,4.29,1.98,1.3,3.63,1.08,0.43
9,M01,M11,1.19,3.42,1.07,1.28,3.08,1.94,2.89,0.69,3.92,3.38,2.77,3.41,4.28,1.61,0.89,0.51,3.12,2.65,0.69,1.19,1.8,0.2,3.56,3.75,0.99,2.63,0.9,0.87,0.91,1.91,1.62,2.55,3.48,0.77,2.9,2.53,0.99,2.16,1.55,1.91,2.1,1.6,4.13,1.14,2.3,2.46,3.3,1.96
