,p0,p1,S29-SBC,S17-CSB,S18b-SBC,S03-BSC,S25-BCS,S17-BCS,S01-BCS,S24-SCB,S11-SBC,S01-BSC,S30-SCB,S12-CBS,S31-CSB,S23-SBC,S11b-SBC,S13-BCS,S05-BCS,S20-SCB,S14-CBS,S12-SCB,S04-SCB,S07-BSC,S07-BCS,S15-SBC,S19-BCS,S26-BSC,S08-CSB,S19-CBS,S16-CSB,S08-BSC,S18-SBC,S02-CSB,S16-BSC,S21-CBS,S27-CBS,S13-SCB,S28-CSB,S15-CBS,S03-CBS,S09-CBS,S21b-CBS,S06-CSB,S10-CSB,S33-CBS,S23-SCB,S20b-SCB,S22-CSB,S10-BCS
0,1.0,10.0,2.19,1.3,0.33,5.24,1.71,3.64,1.17,0.75,2.5,3.49,1.52,2.02,4.32,1.4,2.92,2.8,4.46,0.97,2.41,1.39,3.33,2.14,2.63,0.95,1.29,3.26,3.01,2.44,1.9,1.5,2.45,1.24,1.24,3.5,1.48,1.15,1.73,4.05,2.72,2.25,1.41,2.08,3.1,2.14,1.33,0.73,2.92,4.08
1,1.0,11.0,2.09,3.05,3.65,4.75,2.92,3.27,2.83,2.01,3.96,4.32,2.49,3.56,2.58,2.9,2.74,2.9,4.56,2.06,0.69,4.61,2.28,2.37,2.55,0.83,3.59,2.61,4.49,0.64,2.25,5.07,3.23,0.66,4.84,3.97,3.54,2.63,3.87,4.8,4.72,3.42,1.79,0.77,1.54,3.28,2.08,0.41,0.47,2.2
2,1.0,12.0,2.8,2.11,0.3,3.6,2.02,2.7,1.28,3.51,3.27,2.68,3.45,1.19,2.06,2.31,1.63,4.64,2.9,0.91,3.27,3.02,0.76,2.79,2.31,2.4,3.56,2.46,3.54,1.01,4.35,3.85,1.43,1.25,4.61,1.4,2.35,1.39,3.15,4.89,2.8,1.25,1.35,0.98,0.35,2.51,3.04,2.28,0.51,3.48
3,1.0,13.0,2.44,1.41,1.83,0.81,0.37,0.87,0.99,2.34,1.48,0.54,2.22,2.38,0.84,1.76,0.57,2.43,1.79,2.81,2.21,1.32,2.6,2.17,1.7,4.19,3.15,5.8,2.74,1.21,1.4,3.99,1.67,0.33,0.32,1.92,1.81,1.32,0.53,3.29,3.02,1.9,1.15,1.45,0.52,2.96,3.03,0.81,1.34,4.14
4,1.0,14.0,2.2,1.14,0.54,5.77,0.72,3.34,1.26,3.18,2.41,0.38,1.35,1.13,3.19,1.76,0.12,4.66,1.86,1.38,2.99,0.61,2.23,3.2,1.72,2.77,1.03,3.83,2.5,4.24,3.9,3.26,3.75,1.39,3.24,3.02,2.55,1.53,3.71,4.25,1.38,1.54,1.28,3.87,0.7,2.89,0.75,3.21,3.64,3.36
5,1.0,15.0,1.84,3.13,4.65,3.19,3.41,1.24,2.69,1.63,2.04,2.56,2.96,3.43,3.3,1.74,2.65,5.15,0.25,1.57,2.57,2.86,2.86,3.76,2.29,3.88,3.61,3.06,2.68,1.22,1.41,4.36,3.89,3.66,3.34,2.86,3.8,1.53,2.53,3.69,2.13,1.8,1.83,2.93,1.5,3.46,3.51,2.35,3.11,1.89
6,1.0,16.0,0.5,1.2,2.99,4.0,2.81,2.6,0.89,2.65,3.18,1.61,2.72,2.17,0.18,3.07,5.25,3.43,0.2,1.58,2.46,3.9,3.95,2.76,2.8,3.01,1.4,3.3,0.76,0.97,1.94,3.34,1.08,3.65,2.16,0.52,3.62,1.49,3.85,3.62,4.0,1.3,1.74,1.74,1.82,3.4,1.59,1.01,2.18,1.74
7,1.0,17.0,2.55,2.16,1.94,3.03,4.89,1.53,2.31,2.55,2.83,4.39,4.02,2.31,3.9,3.44,3.93,4.41,2.29,1.9,3.68,3.6,1.1,4.88,1.14,2.24,3.64,3.23,2.08,2.31,2.93,4.24,1.58,2.35,4.32,3.85,3.36,1.09,3.51,2.23,3.05,3.87,3.05,3.85,0.65,3.24,1.22,3.38,2.02,1.21
8,1.0,18.0,2.49,2.51,3.13,4.04,3.37,1.81,1.17,3.71,2.13,3.5,1.54,3.62,2.58,3.2,2.49,3.43,1.75,1.48,2.73,2.0,2.69,4.57,1.83,4.42,2.11,3.35,2.46,1.47,1.44,4.89,2.36,3.39,3.79,3.95,2.99,0.82,2.43,3.86,3.5,3.42,1.2,3.48,2.82,2.85,1.82,4.74,4.37,1.98
9,1.0,2.0,2.07,3.54,3.59,3.96,5.88,1.25,2.22,4.21,2.1,5.12,3.56,2.03,2.31,3.28,2.94,3.75,1.16,2.64,2.47,1.72,2.93,3.52,1.78,1.49,4.78,2.13,3.5,2.94,2.74,5.18,2.53,5.19,3.28,4.32,3.23,1.68,3.82,3.28,3.84,1.74,2.22,4.35,0.54,3.58,1.79,3.19,2.69,2.26
10,1.0,3.0,1.26,1.3,1.85,2.85,1.64,2.16,2.42,1.57,0.69,1.58,1.16,2.98,2.2,2.46,2.07,4.71,3.62,2.33,1.19,0.92,1.45,2.85,1.03,0.83,1.79,2.19,2.66,1.52,1.24,0.31,2.5,3.39,0.07,1.6,3.46,0.91,3.02,3.71,2.83,2.48,1.61,3.2,1.95,3.68,0.54,3.04,2.31,2.5
11,1.0,4.0,1.64,2.25,2.42,3.32,4.6,2.59,1.09,1.72,3.43,3.21,0.61,1.35,2.85,1.91,1.62,5.15,1.52,0.96,2.64,0.98,2.2,2.98,2.2,1.53,1.95,4.17,2.72,1.46,1.3,4.25,2.0,2.31,0.32,1.6,1.18,1.3,1.89,3.89,1.2,1.85,2.5,3.16,2.25,3.23,2.27,1.41,4.31,3.46
12,1.0,5.0,1.85,0.91,4.25,1.23,3.23,1.32,0.5,0.52,2.99,1.95,0.57,1.45,1.38,0.28,1.93,2.84,3.81,2.8,3.81,1.93,1.06,3.33,2.16,2.47,3.07,2.49,2.85,2.62,2.08,5.1,1.54,2.65,0.74,1.42,1.66,1.62,1.93,3.88,1.58,2.51,1.79,1.93,2.55,3.39,2.39,1.34,0.65,2.46
13,1.0,6.0,3.19,3.18,1.93,3.67,3.4,0.86,1.21,2.68,3.13,4.39,1.64,1.08,1.68,0.49,3.26,2.01,2.38,1.89,4.81,3.54,1.77,1.71,0.95,3.9,1.86,3.05,2.88,1.88,1.23,4.35,1.73,2.59,3.38,3.39,1.24,3.33,2.02,4.25,1.98,3.85,3.21,4.22,2.56,3.66,2.6,4.22,2.61,1.02
14,1.0,7.0,2.12,3.81,3.51,3.7,3.24,1.6,2.69,3.64,2.89,2.16,2.73,0.55,2.25,1.83,2.67,3.13,1.18,2.8,4.99,2.74,2.15,3.17,3.0,2.68,2.87,1.97,4.06,1.66,2.38,5.3,1.84,2.68,2.39,4.08,2.54,1.22,4.81,3.45,1.23,0.32,1.66,3.39,3.32,4.99,2.69,1.31,3.19,2.5
