,p0,p1,S09-CBS,S11-SBC,S28-CSB,S15-SBC,S20-SCB,S01-BSC,S19-BCS,S17-CSB,S13-SCB,S24-SCB,S18b-SBC,S07-BCS,S20b-SCB,S08-CSB,S16-BSC,S21-CBS,S04-SCB,S12-CBS,S23-SBC,S10-BCS,S08-BSC,S33-CBS,S12-SCB,S18-SBC,S16-CSB,S27-CBS,S06-CSB,S31-CSB,S14-CBS,S02-CSB,S21b-CBS,S23-SCB,S29-SBC,S10-CSB,S25-BCS,S07-BSC,S22-CSB,S03-CBS,S03-BSC,S17-BCS,S11b-SBC,S13-BCS,S15-CBS,S30-SCB,S26-BSC,S05-BCS,S19-CBS,S01-BCS
0,1,10,2.04,2.33,1.56,1.08,0.87,2.44,1.04,1.03,0.27,0.64,0.26,1.96,0.12,2.62,1.39,3.22,3.65,2.08,1.77,3.69,1.41,2.01,1.22,1.27,1.2,1.74,1.16,1.63,3.12,1.16,1.47,0.7,1.84,1.54,1.41,2.24,2.69,2.77,4.82,3.77,2.21,1.85,4.07,1.33,3.96,5.04,1.71,1.45
1,1,11,3.52,3.0,3.73,1.23,2.02,4.7,3.49,2.66,2.65,2.92,3.5,2.26,0.16,4.37,5.62,4.25,3.66,3.94,3.74,1.87,5.57,2.47,4.79,3.4,2.72,3.97,0.25,1.7,0.43,0.8,1.88,1.93,2.08,0.27,2.78,2.17,0.43,4.55,4.77,3.59,2.26,3.43,1.58,1.91,2.36,4.36,1.2,2.06
2,1,12,1.47,1.55,3.93,2.19,1.37,2.35,2.93,2.0,1.57,3.78,0.36,1.52,1.52,3.22,5.49,1.04,0.64,1.06,2.39,3.88,3.57,1.66,2.65,0.4,1.36,3.03,0.64,2.68,3.95,1.2,1.52,1.63,2.96,0.39,2.02,2.85,0.5,2.75,2.76,3.06,1.41,4.31,3.98,3.29,1.75,2.51,0.85,1.52
3,1,13,1.17,0.73,0.6,3.95,2.47,0.53,2.8,0.52,0.69,3.26,1.76,1.11,0.2,2.08,0.17,1.41,1.9,2.46,1.96,4.28,4.27,2.18,1.43,1.02,1.71,1.78,0.53,0.94,2.84,0.26,0.87,1.88,2.13,0.33,0.37,1.24,1.16,2.65,0.77,1.29,0.75,1.76,1.8,1.15,3.92,1.91,0.91,0.78
4,1,14,0.92,2.27,3.5,2.27,1.14,0.4,0.83,1.02,1.23,2.86,0.52,1.84,2.95,2.35,3.65,2.93,1.95,1.23,1.78,3.74,2.8,2.6,0.54,0.95,0.94,2.71,2.59,2.0,2.3,1.07,0.67,0.41,2.17,2.0,0.92,2.82,3.35,1.54,6.05,3.24,0.14,3.23,3.13,1.15,2.84,1.98,3.66,1.03
5,1,15,0.55,0.35,2.83,3.66,1.37,2.27,3.41,2.5,1.41,2.31,4.5,1.54,2.69,2.21,3.88,2.42,3.27,3.88,2.11,1.85,4.84,2.84,2.7,1.14,1.58,4.08,2.92,1.55,2.77,3.3,1.17,2.24,1.75,0.59,3.41,4.25,3.12,2.13,3.33,1.21,1.85,4.34,3.68,2.49,1.84,0.7,2.37,2.71
6,1,16,1.71,1.93,4.08,2.74,1.06,1.65,1.4,1.85,1.41,3.03,2.81,2.36,0.81,1.06,2.45,0.6,4.23,2.21,4.31,1.34,3.32,2.66,3.77,1.49,2.16,3.83,1.63,0.52,2.69,3.39,1.83,1.82,1.01,1.32,2.78,2.76,2.14,3.82,4.07,2.35,4.67,3.66,1.81,2.12,2.51,0.35,2.4,0.64
7,1,17,4.15,2.07,3.79,2.58,1.66,3.57,3.66,1.69,1.33,3.07,1.89,0.55,3.77,2.29,4.87,4.13,1.55,2.32,3.82,0.66,4.67,2.71,3.64,0.75,3.69,3.78,3.26,2.83,4.04,2.43,2.6,1.17,2.44,0.71,4.8,5.09,2.0,2.91,3.1,1.6,3.28,4.6,2.59,2.79,1.61,2.0,0.8,1.93
8,1,18,3.16,1.14,3.05,3.7,2.07,3.43,2.1,0.86,0.59,4.51,3.03,1.16,3.76,2.17,4.41,4.07,3.21,4.13,3.67,2.34,5.08,2.52,1.75,1.47,2.14,3.46,3.41,1.56,2.44,3.48,1.08,1.62,2.77,0.92,3.24,4.08,3.99,3.48,4.47,2.23,2.07,3.58,1.38,1.42,2.41,1.5,2.25,0.62
9,1,2,1.73,0.18,4.13,1.42,2.94,4.48,4.83,3.96,1.59,5.06,3.44,1.71,3.3,3.36,3.94,4.86,2.99,2.35,3.68,2.67,5.3,2.91,1.59,2.05,3.07,3.42,3.7,2.0,2.49,4.8,1.95,1.24,2.5,0.45,5.88,3.17,2.62,3.81,4.48,1.62,2.54,3.58,2.44,2.72,1.63,1.41,3.21,1.83
10,1,3,2.32,0.95,2.78,1.05,2.59,1.45,1.44,0.7,1.0,1.82,1.76,0.75,1.78,1.94,0.3,1.48,1.41,3.0,2.85,2.45,0.22,2.71,0.66,2.88,1.02,3.33,2.46,2.07,1.08,2.66,1.83,0.46,0.92,2.28,1.71,2.94,2.37,2.8,1.96,1.99,1.5,4.63,1.59,0.45,1.5,3.21,1.29,2.28
11,1,4,2.24,1.58,1.88,1.43,1.13,2.95,1.52,1.27,1.0,2.2,2.28,1.44,1.36,2.15,0.16,1.41,2.27,1.37,2.29,3.8,4.43,2.8,0.92,0.42,1.14,1.52,2.82,1.34,3.11,2.3,1.62,1.86,1.67,1.91,4.62,3.73,4.02,1.26,2.96,2.81,1.75,3.31,3.85,0.29,2.95,1.17,0.43,1.35
12,1,5,2.56,2.22,2.0,2.02,2.56,1.81,3.06,0.96,1.61,0.95,4.1,2.06,1.39,2.76,1.08,1.19,0.89,1.46,0.8,2.32,5.82,2.54,1.65,2.13,2.68,2.07,1.2,1.15,3.97,2.48,1.36,2.11,1.8,2.05,3.27,0.7,0.51,0.98,1.43,1.45,1.74,2.44,3.8,0.41,1.14,3.39,2.49,1.0
13,1,6,3.53,1.71,2.6,3.29,2.42,4.36,1.66,2.28,1.87,3.44,1.81,0.84,4.47,2.65,4.08,3.11,1.76,1.44,0.74,1.21,4.71,3.34,3.45,2.45,1.55,2.1,3.58,1.39,5.09,2.65,2.51,1.93,3.46,2.5,3.27,1.28,2.58,1.87,4.2,1.05,2.67,1.13,1.92,0.85,2.19,1.7,1.17,0.76
14,1,7,0.22,2.81,5.37,2.19,3.21,1.87,2.95,3.6,1.2,3.79,3.38,2.61,2.18,3.65,2.61,4.34,2.89,0.8,2.7,3.14,5.55,3.71,2.93,3.32,2.93,2.64,2.92,1.56,4.98,2.82,1.24,2.41,2.13,0.88,3.36,3.42,3.36,1.14,4.15,1.92,2.27,3.13,1.24,2.26,1.1,0.77,2.64,2.5
15,1,8,0.93,1.08,1.76,0.97,0.6,1.32,0.55,1.15,0.46,1.8,0.78,1.29,1.29,2.17,0.3,3.32,0.89,1.51,3.75,2.11,1.93,2.47,0.91,0.5,2.09,1.59,1.71,1.31,4.16,1.53,0.84,1.75,1.92,0.77,1.82,2.48,2.31,2.61,2.18,2.28,0.94,1.83,3.35,0.77,1.45,2.72,2.78,2.44
16,1,9,2.68,1.66,3.5,1.41,2.28,2.18,1.17,2.44,1.85,1.29,0.16,0.98,2.56,2.51,0.32,0.38,0.44,1.21,1.97,2.05,2.05,1.65,1.1,0.55,1.56,0.62,2.11,1.86,3.17,0.64,1.84,1.34,1.66,1.69,2.18,1.35,0.8,2.73,2.84,3.54,1.17,2.9,3.1,1.35,1.88,4.13,1.7,1.98
17,10,11,2.43,1.67,2.18,2.14,2.48,3.72,2.98,1.84,2.75,3.53,3.67,0.57,0.09,2.16,4.24,2.3,2.92,2.51,3.28,3.39,4.6,2.76,4.44,4.37,3.82,3.84,0.91,2.68,3.53,1.07,0.67,1.25,1.49,1.28,1.44,0.46,3.12,5.17,0.43,5.62,0.44,3.67,2.74,1.97,1.75,1.97,2.9,3.1
18,10,12,0.72,0.93,4.05,2.6,1.3,1.5,2.93,2.34,1.34,4.3,0.62,3.46,1.63,0.95,4.11,2.26,4.28,1.23,1.76,2.14,2.17,3.3,1.46,1.01,2.37,3.22,0.63,1.81,1.19,0.43,0.11,1.31,2.58,1.52,1.0,0.78,2.49,3.42,2.45,1.39,1.49,3.5,0.14,2.17,2.25,2.53,1.52,0.59
19,10,13,2.77,2.87,1.54,4.16,2.92,2.08,2.97,1.07,0.43,3.9,1.54,3.03,0.29,1.64,1.53,2.31,1.87,0.4,1.57,0.59,3.23,3.92,2.63,2.13,1.95,3.4,0.64,2.57,0.41,1.16,2.26,1.36,3.94,1.21,1.74,2.43,3.06,2.69,4.81,2.52,2.33,1.24,2.31,0.77,3.02,3.17,2.42,2.09
