stimulus_type,stimulus_name,face,music,odor,hedo_rt,hedo,emo_rt,emo,fam_rt,fam,compl_rt,compl,subject,hedo_scaled,hedo_zscore,emo_scaled,emo_zscore,fam_scaled,fam_zscore,compl_scaled,compl_zscore,version
music,M09,,M09,,,,4431.0,184.0,3258.0,83.0,3258.0,167.0,S01-BCS,,,3.68,-0.4790420795441008,1.66,-0.9273595121058532,3.3400000000000003,-0.9650181543493166,1.0
face,V16,V16,,,4206.0,3.0,,,4889.0,292.0,3302.0,345.0,S01-BCS,5.0600000000000005,-0.1676751433126045,,,5.84,0.4274320376054226,6.9,0.8820058399966872,1.0
odor,14,,,14.0,3178.0,-190.0,3315.0,184.0,,,3689.0,191.0,S01-BCS,1.2,-1.5710989831306037,3.68,-0.4790420795441008,,,3.82,-0.7159812112914284,1.0
odor,11,,,11.0,2936.0,-108.0,4087.0,62.0,3917.0,333.0,2953.0,132.0,S01-BCS,2.84,-0.97482564186078,1.24,-1.65100049283663,6.66,0.6932045425727065,2.64,-1.3281970296420702,1.0
music,M12,,M12,,1975.0,-10.0,1521.0,257.0,3139.0,19.0,2259.0,38.0,S01-BCS,4.8,-0.2622062827822107,5.140000000000001,0.2222117251309372,0.38,-1.3422239101035645,0.76,-2.3035917232854657,1.0
music,M08,,M08,,1855.0,190.0,987.0,362.0,2115.0,13.0,1737.0,145.0,S01-BCS,8.8,1.1921189398271146,7.24,1.2308644578827042,0.26,-1.38111744741585,2.9,-1.1933020188190475,1.0
face,V12,V12,,,2065.0,167.0,2515.0,275.0,2894.0,123.0,2722.0,205.0,S01-BCS,8.34,1.0248715392270422,5.5,0.3951236221740973,2.46,-0.6680692633572837,4.1,-0.5707096611743271,1.0
face,V09,V09,,,1829.0,-118.0,2016.0,245.0,2469.0,46.0,3700.0,258.0,S01-BCS,2.64,-1.0475419029912465,4.9,0.1069371271021638,0.92,-1.16720299219828,5.16,-0.0207530785881573,1.0
face,V17,V17,,,3458.0,-6.0,4348.0,260.0,,,2667.0,238.0,S01-BCS,4.88,-0.2331197783300242,5.2,0.2510303746381305,,,4.76,-0.2282838644697308,1.0
odor,1,,,1.0,2248.0,-179.0,2876.0,311.0,2729.0,312.0,3480.0,181.0,S01-BCS,1.42,-1.4911110958870906,6.22,0.7409474162604174,6.24,0.5570771619797075,3.62,-0.8197466042322152,1.0
face,V08,V08,,,2318.0,64.0,3029.0,242.0,1355.0,338.0,2198.0,184.0,S01-BCS,6.28,0.2758940495832396,4.84,0.0781184775949705,6.760000000000001,0.7256158236662776,3.68,-0.7886169863499791,1.0
odor,8,,,8.0,1594.0,-212.0,2382.0,346.0,1842.0,58.0,,,S01-BCS,0.76,-1.7310747576176293,6.92,1.0771649938443395,1.16,-1.0894159175737093,,,1.0
music,M16,,M16,,2311.0,159.0,1903.0,276.0,2228.0,70.0,2847.0,260.0,S01-BCS,8.18,0.9666985303226692,5.5200000000000005,0.404729838676495,1.4,-1.0116288429491385,5.2,0.0,1.0
odor,3,,,3.0,3032.0,-242.0,2154.0,386.0,4203.0,178.0,,,S01-BCS,0.16,-1.949223541009028,7.720000000000001,1.461413653940251,3.56,-0.3115451713280006,,,1.0
music,M03,,M03,,2700.0,54.0,2363.0,245.0,2647.0,408.0,4228.0,310.0,S01-BCS,6.08,0.2031777884527734,4.9,0.1069371271021638,8.16,1.1793737589762745,6.2,0.5188269647039336,1.0
odor,7,,,7.0,1569.0,200.0,2316.0,348.0,2105.0,461.0,4629.0,185.0,S01-BCS,9.0,1.264835200957581,6.959999999999999,1.0963774268491353,9.22,1.522933338568129,3.7,-0.7782404470559005,1.0
odor,12,,,12.0,2418.0,-190.0,1987.0,241.0,4728.0,148.0,4101.0,300.0,S01-BCS,1.2,-1.5710989831306037,4.82,0.0685122610925727,2.96,-0.5060128578894277,6.0,0.4150615717631469,1.0
face,V15,V15,,,2897.0,-7.0,1587.0,255.0,1700.0,312.0,2445.0,277.0,S01-BCS,4.859999999999999,-0.2403914044430708,5.1,0.2029992921261416,6.24,0.5570771619797075,5.540000000000001,0.1764011679993374,1.0
face,V13,V13,,,1861.0,42.0,1270.0,330.0,2289.0,145.0,2310.0,395.0,S01-BCS,5.84,0.1159182750962138,6.6000000000000005,0.9234655298059752,2.9,-0.5254596265455704,7.9,1.4008328047006209,1.0
odor,10,,,10.0,2575.0,-56.0,3755.0,244.0,3027.0,124.0,3794.0,343.0,S01-BCS,3.88,-0.5967010839823556,4.88,0.097330910599766,2.48,-0.6615870071385694,6.86,0.8612527614085299,1.0
face,V06,V06,,,2717.0,-4.0,4858.0,0.0,3293.0,300.0,3444.0,313.0,S01-BCS,4.92,-0.2185765261039309,0.0,-2.246585915985293,6.0,0.4792900873551365,6.26,0.5499565825861696,1.0
music,M01,,M01,,3347.0,75.0,1073.0,349.0,2644.0,125.0,1386.0,385.0,S01-BCS,6.5,0.3558819368267525,6.98,1.105983643351533,2.5,-0.6551047509198552,7.7,1.2970674117598342,1.0
face,V01,V01,,,3045.0,89.0,2608.0,238.0,3982.0,330.0,1596.0,318.0,S01-BCS,6.78,0.4576847024094053,4.76,0.0396936115853793,6.6000000000000005,0.6737577739165638,6.36,0.6018392790565631,1.0
face,V10,V10,,,1858.0,149.0,4674.0,264.0,2834.0,348.0,3147.0,130.0,S01-BCS,7.98,0.8939822691922029,5.28,0.2894552406477217,6.959999999999999,0.7904383858534201,2.6,-1.3489501082302275,1.0
face,V07,V07,,,3427.0,6.0,1908.0,245.0,,,,,S01-BCS,5.12,-0.1458602649734647,4.9,0.1069371271021638,,,,,1.0
music,M11,,M11,,,,1817.0,225.0,2053.0,118.0,,,S01-BCS,,,4.5,-0.0851872029457917,2.36,-0.700480544450855,,,1.0
odor,18,,,18.0,2901.0,52.0,3735.0,216.0,3979.0,388.0,4431.0,305.0,S01-BCS,6.04,0.1886345362266801,4.32,-0.1716431514673717,7.76,1.0497286346019896,6.1,0.4669442682335403,1.0
face,V11,V11,,,758.0,-113.0,2869.0,3.0,1476.0,2.0,2421.0,338.0,S01-BCS,2.74,-1.011183772426013,0.06,-2.217767266478099,0.04,-1.4524222658217063,6.760000000000001,0.8093700649381366,1.0
music,M17,,M17,,2347.0,125.0,1196.0,257.0,1073.0,415.0,2479.0,279.0,S01-BCS,7.5,0.7194632424790839,5.140000000000001,0.2222117251309372,8.299999999999999,1.224749552507274,5.58,0.1971542465874947,1.0
odor,5,,,5.0,1529.0,-115.0,1541.0,244.0,1008.0,343.0,3758.0,348.0,S01-BCS,2.7,-1.0257270246521066,4.88,0.097330910599766,6.86,0.7580271047598488,6.959999999999999,0.9131354578789233,1.0
odor,6,,,6.0,,,1572.0,233.0,2102.0,419.0,2053.0,331.0,S01-BCS,,,4.66,-0.0083374709266095,8.379999999999999,1.250678577382131,6.62,0.7367342898795858,1.0
face,V04,V04,,,1008.0,122.0,1854.0,298.0,2599.0,19.0,990.0,387.0,S01-BCS,7.439999999999999,0.697648364139944,5.96,0.6160666017292462,0.38,-1.3422239101035645,7.74,1.3178204903479915,1.0
face,V14,V14,,,2597.0,81.0,4549.0,20.0,2270.0,6.0,3201.0,279.0,S01-BCS,6.62,0.3995116935050323,0.4,-2.0544615859373367,0.12,-1.4264932409468496,5.58,0.1971542465874947,1.0
music,M07,,M07,,1113.0,238.0,1423.0,361.0,2956.0,54.0,2630.0,186.0,S01-BCS,9.76,1.5411569932533526,7.22,1.2212582413803064,1.08,-1.1153449424485662,3.72,-0.7678639077618218,1.0
music,M15,,M15,,1357.0,46.0,898.0,225.0,1292.0,60.0,2452.0,380.0,S01-BCS,5.92,0.1450047795484003,4.5,-0.0851872029457917,1.2,-1.0764514051362808,7.6,1.2451847152894409,1.0
music,M10,,M10,,2187.0,111.0,672.0,357.0,2342.0,2.0,2554.0,307.0,S01-BCS,7.22,0.6176604768964311,7.14,1.1828333753707152,0.04,-1.4524222658217063,6.14,0.4876973468216976,1.0
odor,2,,,2.0,1898.0,221.0,4386.0,288.0,,,2963.0,317.0,S01-BCS,9.42,1.41753934933156,5.76,0.5200044367052684,,,6.34,0.5914627397624844,1.0
face,V05,V05,,,1106.0,-90.0,3328.0,13.0,3564.0,290.0,3719.0,272.0,S01-BCS,3.2,-0.8439363718259408,0.26,-2.121705101454121,5.8,0.4144675251679942,5.44,0.124518471528944,1.0
odor,9,,,9.0,1702.0,-249.0,4743.0,336.0,3539.0,105.0,3061.0,311.0,S01-BCS,0.02,-2.0001249238003544,6.720000000000001,0.981102828820362,2.1,-0.78474987529414,6.22,0.5292035039980123,1.0
face,V18,V18,,,1949.0,-163.0,1949.0,18.0,2046.0,3.0,2173.0,361.0,S01-BCS,1.7399999999999998,-1.3747650780783447,0.36,-2.0736740189421323,0.06,-1.4459400096029924,7.22,1.048030468701946,1.0
odor,16,,,16.0,3528.0,39.0,4190.0,247.0,,,4756.0,288.0,S01-BCS,5.779999999999999,0.0941033967570739,4.94,0.1261495601069594,,,5.76,0.2905431002342029,1.0
