subject,stim,%var_cum,pol_surf,circ_surf,avg_d
S18-SBC,music,74.7804797953384,11.8846440347547,11.0292436792757,1.87369082301311
S16-CSB,odor,77.4811657499405,11.1762319293183,9.85016599963294,1.77070754734784
S23-SCB,music,69.3254994990074,11.2219240485288,11.5829926384882,1.92015131393983
S23-SBC,odor,77.1898725061547,10.6310551976261,11.8341345659423,1.9408560036151
S22-CSB,face,68.7321912963835,11.2428836943946,11.771422950323,1.9357066667082
S19-BCS,music,94.0929560780276,10.7012154041662,11.683028519326,1.92842512902851
S08-BSC,music,76.8450196823096,13.424093916979,10.2334922047753,1.80483288394376
S16-BSC,face,72.0552361755986,13.4696291625973,11.3233554160242,1.89850888164719
S04-SCB,odor,76.0656554334026,11.2522954149346,11.8455442540308,1.94179140055918
S03-BSC,face,75.8084350190498,12.7329970221453,11.6680791861284,1.92719094998913
S18-SBC,odor,73.0193809039054,12.4201721971111,10.2219761089755,1.80381707825972
S31-CSB,music,81.2519596012214,13.2774623577607,11.0205099109235,1.87294881281721
S25-BCS,face,89.8161291159804,14.3985498823664,11.4670715110319,1.91051883726331
S19-BCS,odor,77.427543505991,11.9631345814564,11.0757853239652,1.87763999900605
S30-SCB,face,85.4562523999797,11.7666007169156,11.30889627709,1.89729636241279
S08-CSB,music,83.953240455838,16.4810470230884,10.5285723552449,1.83066891274086
S16-CSB,face,67.4661305716255,12.1259865670575,11.3412107144763,1.90000512939079
S33-CBS,music,85.6212255813005,10.8475030101178,10.0583923528601,1.78932549443381
S23-SBC,face,74.0368798215533,13.6251301553067,11.3232360894529,1.89849887828935
S18b-SBC,music,67.5919055510418,10.7288113311914,11.7849584079026,1.93681924027519
S16-BSC,odor,96.4199568023518,9.38840191288231,11.5956449402305,1.92119973484081
S22-CSB,odor,84.5393891851305,13.2123710636954,11.1937642886628,1.88761379436908
S03-BSC,music,74.3965123892998,12.4767418787201,10.9956553184498,1.8708355868253
S03-BSC,odor,82.3386821017139,14.3399151061061,11.2263395910755,1.89035839921847
S18-SBC,face,83.0330374242331,10.6851995227625,11.635316124632,1.92448334660086
S04-SCB,face,67.4961985088163,11.3757972591867,10.7276741943508,1.84789738671296
S24-SCB,music,78.273302165251,13.8022048023466,11.3595512452127,1.9015408131204
S30-SCB,odor,82.4623624777582,14.8202523643742,10.1155662899186,1.79440373228228
S19-BCS,face,65.2409474331888,11.0837963711783,11.1742820553664,1.88597042639307
S25-BCS,odor,88.9738278788068,12.8821806816783,11.2796351299023,1.89484019758762
S06-CSB,face,73.6969289350665,13.3799530466865,11.0926334132291,1.87906755579555
S15-SBC,face,73.2625277709799,13.6990532050074,11.0518757559614,1.87561225043917
S29-SBC,odor,74.0595492226594,13.1319360663847,11.5671341556485,1.91883640692924
S28-CSB,face,77.6197453845983,14.0653419982837,10.7644277393866,1.85106017421309
S02-CSB,music,77.7254919440531,10.2292101873953,12.0946264678384,1.96210070445253
S21b-CBS,odor,82.4469035204896,11.2115142347833,11.7168144195875,1.93121150170962
S12-CBS,face,69.3990420658734,9.81751702337609,11.9500451148241,1.95033779135586
S13-SCB,odor,73.1881780166779,14.043597303305,10.9993779113868,1.87115224689656
