subjects,mean d,median d,max d
S09-CBS,2.2495610425240056,2.26,5.19
S11-SBC,2.2549108367626887,2.24,4.99
S28-CSB,2.116721536351166,1.99,6.62
S15-SBC,2.063305898491084,1.95,5.5
S20-SCB,2.1650617283950617,2.11,5.8
S01-BSC,2.050699588477366,1.9,5.49
S19-BCS,2.171385459533608,2.08,6.16
S17-CSB,2.070960219478738,1.89,5.74
S13-SCB,2.220589849108368,2.12,5.2
S24-SCB,2.3561865569272977,2.31,6.03
S18b-SBC,2.1696982167352536,2.18,4.79
S07-BCS,2.0709053497942387,2.04,5.69
S20b-SCB,2.3174348422496567,2.33,5.35
S08-CSB,2.1390946502057613,1.96,6.04
S16-BSC,2.123676268861454,1.61,6.66
S21-CBS,2.424417009602195,2.28,6.25
S04-SCB,2.1193827160493828,1.9,5.62
S12-CBS,2.2642112482853225,2.26,5.58
S23-SBC,2.1487791495198905,2.02,6.42
S10-BCS,2.199286694101509,2.1,5.33
S08-BSC,2.313102766798419,2.105,6.81
S33-CBS,2.1516483516483516,2.11,6.18
S12-SCB,2.3908367626886147,2.5,5.53
S18-SBC,2.0990123456790126,1.97,5.57
S16-CSB,1.9374622770919065,1.72,5.98
S27-CBS,2.054554183813443,1.96,5.2
S06-CSB,2.201289437585734,2.16,5.01
S31-CSB,2.1669272976680385,2.1,5.4
S14-CBS,1.9789163237311387,1.84,5.9
S02-CSB,2.207805212620028,2.16,5.05
S21b-CBS,2.1966803840877915,2.06,6.64
S23-SCB,2.0882990397805212,2.06,4.77
S29-SBC,2.309355281207133,2.18,5.48
S10-CSB,2.1290809327846363,2.07,5.04
S25-BCS,2.4725925925925925,2.39,6.26
S07-BSC,2.108710562414266,2.04,5.09
S22-CSB,2.1192729766803837,2.04,5.34
S03-CBS,2.2542112482853223,2.05,6.6
S03-BSC,2.1094375857338816,2.05,6.05
S17-BCS,2.1264746227709193,1.91,5.9
S11b-SBC,2.390288065843621,2.23,6.21
S13-BCS,2.21281207133059,2.1,5.72
S15-CBS,2.1801097393689988,2.19,5.73
S30-SCB,2.1815089163237316,2.13,5.5
S26-BSC,2.2333333333333334,2.24,5.42
S05-BCS,2.2781893004115226,2.19,5.98
S19-CBS,2.167681755829904,2.08,5.32
S01-BCS,1.9855829903978053,1.86,5.48
