subjects,mean d,median d,max d
S09-CBS,2.05641975308642,2.01,4.51
S11-SBC,2.473333333333333,2.38,4.51
S28-CSB,1.019506172839506,0.86,3.25
S15-SBC,1.757283950617284,1.64,4.41
S20-SCB,2.1383950617283953,1.98,5.28
S01-BSC,1.3288888888888888,1.21,3.27
S19-BCS,0.7213580246913579,0.62,1.78
S17-CSB,1.3141975308641975,1.19,3.13
S13-SCB,1.9779012345679012,1.95,4.09
S24-SCB,2.243086419753087,2.2,4.49
S18b-SBC,1.6355555555555559,1.69,3.49
S07-BCS,2.100493827160494,2.03,4.6
S20b-SCB,2.3939506172839504,2.4,4.67
S08-CSB,1.9109876543209878,1.86,4.84
S16-BSC,1.084814814814815,1.04,2.64
S21-CBS,2.9703703703703708,2.83,5.51
S04-SCB,1.5130864197530864,1.43,3.54
S12-CBS,1.9256790123456793,2.12,4.08
S23-SBC,1.7028395061728396,1.81,3.98
S10-BCS,2.1482716049382713,2.04,4.21
S08-BSC,1.8716071428571428,1.76,5.71
S33-CBS,2.1633333333333336,2.19,4.73
S12-SCB,2.1417283950617283,1.96,3.9
S18-SBC,2.083456790123457,1.95,5.05
S16-CSB,1.183827160493827,1.21,2.79
S27-CBS,1.4980246913580246,1.46,3.79
S06-CSB,1.8969135802469137,1.83,4.34
S31-CSB,1.8620987654320988,1.66,5.4
S14-CBS,2.0898765432098765,2.0,4.53
S02-CSB,1.8948148148148147,1.7,4.6
S21b-CBS,1.5053086419753088,1.46,3.04
S23-SCB,1.7962962962962963,1.82,4.37
S29-SBC,2.3123456790123456,2.29,4.49
S10-CSB,1.7555555555555558,1.69,3.83
S25-BCS,2.254567901234568,2.33,4.38
S07-BSC,1.8635802469135805,1.75,4.74
S22-CSB,2.006543209876543,2.04,4.42
S03-CBS,2.4154320987654323,2.15,6.36
S03-BSC,2.2998765432098764,2.39,4.82
S17-BCS,1.5251851851851852,1.41,4.68
S11b-SBC,2.0195061728395065,1.95,3.67
S13-BCS,2.1233333333333335,2.24,3.63
S15-CBS,0.4519753086419754,0.44,1.16
S30-SCB,2.0619753086419754,1.96,4.72
S26-BSC,1.8403703703703707,1.74,3.67
S05-BCS,2.0911111111111107,2.18,4.58
S19-CBS,2.06716049382716,2.14,4.12
S01-BCS,2.020864197530864,1.86,5.12
