subjects,mean d,median d,max d
S09-CBS,2.5859259259259257,2.55,4.76
S11-SBC,2.414567901234568,2.33,4.31
S28-CSB,2.1743209876543212,2.05,5.05
S15-SBC,1.2522222222222223,1.24,3.03
S20-SCB,1.9762962962962964,1.92,4.07
S01-BSC,1.4872839506172841,1.48,3.29
S19-BCS,2.4967901234567904,2.53,5.02
S17-CSB,1.8800000000000001,1.76,4.42
S13-SCB,2.8838271604938273,3.28,4.92
S24-SCB,2.5660493827160495,2.53,4.08
S18b-SBC,2.049506172839506,1.97,3.82
S07-BCS,2.0007407407407403,2.04,4.73
S20b-SCB,2.0653086419753084,1.9,4.36
S08-CSB,2.17,1.99,5.78
S16-BSC,1.2024691358024688,1.03,3.52
S21-CBS,1.443827160493827,1.27,4.38
S04-SCB,1.9883950617283952,1.85,4.78
S12-CBS,2.0624691358024694,2.12,4.33
S23-SBC,1.6997530864197532,1.76,3.17
S10-BCS,1.9127160493827162,1.79,4.16
S08-BSC,1.8675925925925925,1.78,3.92
S33-CBS,1.8459259259259257,1.76,4.44
S12-SCB,2.283333333333333,2.53,4.65
S18-SBC,1.7025925925925929,1.69,4.38
S16-CSB,1.9704938271604937,1.64,5.58
S27-CBS,1.8058024691358023,1.81,3.33
S06-CSB,2.3619753086419757,2.3,4.98
S31-CSB,1.9687654320987653,1.85,4.54
S14-CBS,1.6344444444444446,1.49,3.55
S02-CSB,2.372592592592593,2.29,4.7
S21b-CBS,2.532962962962963,2.6,5.04
S23-SCB,1.963333333333333,1.84,4.27
S29-SBC,2.546172839506173,2.48,4.84
S10-CSB,1.5986419753086418,1.48,3.84
S25-BCS,2.863456790123457,2.89,6.26
S07-BSC,1.5722222222222222,1.53,3.22
S22-CSB,1.4365432098765432,1.41,3.43
S03-CBS,2.3513580246913577,2.16,4.84
S03-BSC,1.4471604938271607,1.36,3.33
S17-BCS,1.9597530864197528,1.63,5.9
S11b-SBC,2.290987654320988,2.22,4.68
S13-BCS,1.3538271604938272,1.23,3.32
S15-CBS,1.9040740740740743,1.94,4.38
S30-SCB,1.8534567901234567,1.75,3.7
S26-BSC,2.155925925925926,2.1,4.82
S05-BCS,2.3717283950617287,2.29,5.58
S19-CBS,2.3281481481481485,2.34,4.56
S01-BCS,1.7966666666666664,1.78,4.38
