subjects,music,face,odor,allmod,cr,fa,hit,miss,HR,FR,d_prime
S01-BCS,0.0526519052523172,-0.2184462899549381,0.0352699049767209,-0.043508159908633326,23.0,4.0,24.0,3.0,0.875,0.16071428571428573,3.5988331734291523
S01-BSC,0.0735805336341883,-0.1051615403228244,-0.0039974275326326,-0.011859478073756235,25.0,2.0,27.0,0.0,0.9821428571428571,0.08928571428571429,6.329720905522693
S02-CSB,-0.2524296845030251,-0.2064748668754983,0.2330263380425279,-0.07529273777866517,27.0,0.0,24.0,3.0,0.875,0.017857142857142856,5.953243334287785
S03-BSC,0.2159500514933058,0.0401004119464469,0.1012560859091738,0.11910218311630884,26.0,1.0,26.0,1.0,0.9464285714285714,0.05357142857142857,5.743359249768024
S03-CBS,0.0760169927909371,-0.2821469968024861,-0.2249276412180885,-0.1436858817432125,22.0,5.0,24.0,3.0,0.875,0.19642857142857142,3.3546773660272624
S04-SCB,-0.062178166838311,0.0514256292498513,0.2175482559196105,0.0689319061103836,27.0,0.0,23.0,4.0,0.8392857142857143,0.017857142857142856,5.6602562096063105
S05-BCS,0.0508496395468589,0.2826982492276004,0.0344983719305861,0.12268208690168181,17.0,10.0,24.0,3.0,0.875,0.375,2.456735772821304
S06-CSB,0.009911185562861,-0.1359423274974253,0.0780838116683733,-0.015982443422063664,27.0,0.0,26.0,1.0,0.9464285714285714,0.017857142857142856,6.879012810116483
S07-BCS,-0.1813618241307951,-0.0902594493110593,0.2537044953503504,-0.005972259363834669,24.0,3.0,24.0,3.0,0.875,0.125,3.8918202981106265
S07-BSC,0.0198880093093918,0.1074784408440127,0.0259648339797374,0.05111042804438063,23.0,4.0,23.0,4.0,0.8392857142857143,0.16071428571428573,3.305846048747678
S08-BSC,-0.2547631307929969,0.0593460350154479,0.1501163138080104,-0.015100260656512862,18.0,5.0,21.0,1.0,0.7678571428571429,0.19642857142857142,2.605017975203975
S08-CSB,0.047962403521212,0.0177674779379142,0.1125926451458243,0.05944084220165016,23.0,4.0,24.0,3.0,0.875,0.16071428571428573,3.5988331734291523
S09-CBS,0.0402935118434603,0.0363004441763656,-0.2191271780938142,-0.047511074024662765,22.0,5.0,24.0,3.0,0.875,0.19642857142857142,3.3546773660272624
S10-BCS,-0.3317242717818948,0.0406797116374871,0.1647551888391445,-0.04209645710175439,22.0,5.0,25.0,2.0,0.9107142857142857,0.19642857142857142,3.7311549372621746
S10-CSB,-0.1854926952416416,-0.119706526928062,-0.1201729906432695,-0.14179073760432437,26.0,1.0,20.0,7.0,0.7321428571428571,0.05357142857142857,3.8772014904861094
S11-SBC,0.1293686042455585,0.4957518022657055,0.0556557814573706,0.22692539598954486,23.0,4.0,24.0,3.0,0.875,0.16071428571428573,3.5988331734291523
S11b-SBC,0.0906165537175867,0.1446961894953656,0.2866899452283036,0.17400089614708528,26.0,1.0,23.0,4.0,0.8392857142857143,0.05357142857142857,4.524602649257852
S12-CBS,-0.1746910401647785,0.2972903398060869,-0.0700974664743879,0.01750061105564016,24.0,3.0,23.0,4.0,0.8392857142857143,0.125,3.5988331734291528
S12-SCB,-0.010812202432212,-0.2883253981923215,0.1021923006326256,-0.06564843333063597,23.0,4.0,27.0,0.0,0.9821428571428571,0.16071428571428573,5.660256209606307
S13-BCS,-0.1706893226165279,-0.051744111639872,-0.0312701992472072,-0.08456787783453569,22.0,5.0,27.0,0.0,0.9821428571428571,0.19642857142857142,5.4161004022044175
S13-SCB,0.0453141091658084,0.2190899148516821,0.0056737681108334,0.0900259307094413,27.0,0.0,22.0,5.0,0.8035714285714286,0.017857142857142856,5.41610040220442
S14-CBS,0.0496878420286423,-0.0826627196258204,-0.0957448368703148,-0.042906571489164304,20.0,7.0,27.0,0.0,0.9821428571428571,0.26785714285714285,5.012855050834566
S15-CBS,-0.1977088444747348,-0.1078141091658084,0.2951004164009637,-0.0034741790798598396,27.0,0.0,25.0,2.0,0.9107142857142857,0.017857142857142856,6.329720905522696
S15-SBC,-0.1554010570366847,-0.09783728115345,-0.217971116231962,-0.1570698181406989,24.0,3.0,24.0,3.0,0.875,0.125,3.8918202981106265
S16-BSC,0.2136697147318097,-0.3435045734663421,0.0960027354208073,-0.011277374437908364,25.0,2.0,25.0,2.0,0.9107142857142857,0.08928571428571429,4.64477544058045
S16-CSB,0.0595958300727878,0.0186675249823509,-0.2364082677954806,-0.05271497091344731,25.0,2.0,25.0,2.0,0.9107142857142857,0.08928571428571429,4.64477544058045
S17-BCS,-0.0608869152319892,0.0693827638690109,0.0109522013366862,0.006482683324569302,22.0,5.0,21.0,6.0,0.7678571428571429,0.19642857142857142,2.605017975203975
S17-CSB,0.0423532440782698,0.1895597322348094,-0.1559942699186241,0.02530623546481836,19.0,8.0,24.0,3.0,0.875,0.30357142857142855,2.7762584511287436
S18-SBC,-0.2026792380150954,-0.0029604839992961,-0.0749855403880446,-0.09354175413414538,27.0,0.0,25.0,2.0,0.9107142857142857,0.017857142857142856,6.329720905522696
S18b-SBC,-0.1603913242686228,0.0946250404277787,-0.0566123754292583,-0.04079288642336746,21.0,6.0,22.0,5.0,0.8035714285714286,0.23214285714285715,2.605017975203975
